action_0,action_1,done,episode_id,layout_name,reward,role_swap,shaped_r_by_agent,sparse_r_by_agent,timestep
stay,↓,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",0
stay,↓,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",1
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",2
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",3
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",4
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",5
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",6
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",7
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",8
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",9
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",10
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",11
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",12
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",13
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",14
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",15
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",16
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",17
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",18
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",19
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",20
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",21
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",22
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",23
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",24
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",25
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",26
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",27
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",28
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",29
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",30
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",31
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",32
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",33
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",34
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",35
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",36
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",37
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",38
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",39
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",40
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",41
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",42
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",43
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",44
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",45
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",46
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",47
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",48
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",49
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",50
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",51
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",52
